Collection Url,Legacy System ID,Creator(s),Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal ontributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Corporate contributor,Corporate contributor,Corporate contributor,Corporate contributor,Corporate contributor,This cell intentionally blank,Title,Cataloging Notes,Repository Ingestion Notes,Title as Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Genre/Form Heading,Genre/Form Heading,Genre/Form Heading,Geographic Subject,Geographic Subject,Geographic Subject,Geographic Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Type of scholarship,Advisor and Committee members for EDTs only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53974,,"Daily, Stephanie M.","Mangold, Kara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,Advance Care Planning: How Do We Get to Completion?,,,,Primary care (Medicine),Advance directives (Medical care),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49679,,"Smith, Arsena","Nunez, Diane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,Advance Care Planning in a Primary Care Setting,,,,Advance directives (Medical care),Primary care (Medicine),Terminal care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48500,,"Krasowski, Maria","Rauton, Monica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,Advance Care Planning: Providing Direction for Patients and Providers,,,,Advance directives (Medical care),Primary care (Medicine),Power of attorney,Older people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38136,,"Morrison, Melissa","Baker, Laurie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,Advance Directive Advocacy: Empowering Homeless Clients to Express Their End-of-Life Wishes,,,,Advance directives (Medical care),Older homeless persons,Patient education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48667,,"Mickey, Lexi L.","Johannah, Uriri-Glover",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,Advance Directives in Long-Term Care: Implementation of Five Wishes,,,,Advance directives (Medical care),Long term care of the sick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43819,,"Apolinar, Lisa","Rauton, Monica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,Advance Practice Nursing in the Pre-Hospital Setting,,,,Emergency medical services,Older people,Nurse practitioners,Hospitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43812,,"Sugathan, Kala","Nunez, Diane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,Advanced Practice Registered Nurse Led Transitional Care Program in an Accountable Care Organization,,,,Nurse practitioners,Heart failure,Hospitals,Home care services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48982,,"Robles, Darlene","Root, Lynda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,Advancing Nursing Practice in Vietnam: An International Collaboration to Improve Quality,,,,Transcutural nursing,Interprofessional relations,,,,,,,,,,,,Hanoi (Vietnam),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48664,,"Chang, Lillian","Chen, Angela Chia-Chen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,An Education for Mental Health Care Providers: Sex Trafficking Victim Identification,,,,Human trafficking,Mental health personnel,Mental health education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48983,,"Tharalson, Erin","Root, Lynda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,An Innovative Literacy-Supportive Education Pilot for Wound Self-Care,,,,Wounds and injuries,Health literacy,"Self-care, Health",Bandages and bandaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37980,,"Uwimana, Aimee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,An on-site Mindfulness-Based Intervention to Promote Wellness in the Workplace,,,,Mental health personnel,Mindfulness (Psychology),Burn out (Psychology),Resilience (Personality trait),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38008,,"McKiver, Megan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,Approaching Depression Related to Chronic Musculoskeletal Disorders with Interprofessional Collaboration,,,,Arthritis,"Depression, Mental",Exercise,Interprofessional relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48576,,"Feith, Megan","Crawford, Daniel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,Asthma Clinical Excellence – A Quality Improvement Project,,,,Asthma,Primary care (Medicine),Pediatrics,Accountable care organizations (Medical care),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38158,,"Miller, Connie Sue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,Best Practices for Enhancing Teaching Presence in Online Courses,,,,Web-based instruction,Nursing -- Study and teaching (Graduate),Teaching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54072,,"Craft-Otterbacher, Erin","Nunez, Diane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,Caring for the Caregiver,,,,Caregivers,Gap analysis (Planning),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50126,,"Furletti, Adriana","Mensik, Jennifer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,Comparing the effect of Transitional Virtual Visits in Reducing Readmission Rates,,,,Palliative treatment,Telecommunication in medicine,Hospitals -- Admissions and discharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48646,,"Barbosa, Jennifer","Baker, Laurie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,Controlling Chemotherapy Induced Nausea and Vomiting Through Guideline Adherence,,,,Chemotherapy,Vomiting,Nausea,Nursing care plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38113,,"Ytuarte, Sofhia","Jacobson, Diana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,Cystic Fibrosis Education for School Personnel,,,,Cystic fibrosis in children,Elementary school teachers,Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
