Collection Url,Legacy System ID,Creator,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Corporate contributor,Corporate contributor,Corporate contributor,Corporate contributor,Corporate contributor,Corporate contributor,Title,Cataloging Notes,Repository Ingestion Notes,Title as Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Genre/Form Heading,Genre/Form Heading,Genre/Form Heading,Geographic Subject,Geographic Subject,Geographic Subject,Geographic Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Type of scholarship,Advisor and Committee members for EDTs only,,,,,,,,,,,,,,,,,
,28301,"Cacciatore, Joanne","Carlson, Bonnie E.","Klimek, Barbara","Steffan, Sara",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crisis Intervention by Social Workers in Fire Departments: An Innovative Role for Social Workers,"Klimek, Barbara: https://isearch.asu.edu/profile/581541",,,Crisis intervention (Mental health services),Social workers,Fire departments -- Officials and employees,Job stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28312,"Cacciatore, Joanne","Rådestad, Ingela","Froen, J.F.",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Effects of Contact with Stillborn Babies on Maternal Anxiety and Depression,,,,Anxiety in women,Depression in women,Stillbirth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28310,"Cacciatore, Joanne",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Effects of Support Groups on Post Traumatic Stress Responses in Women Experiencing Stillbirth,,"The word ""Responses"" in the title of the abstract misspelled as ""Resposes""",,Self-help groups,Women -- Psychology,Stillbirth,Post-traumatic stress disorder in women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28334,"Shreffler, Karina M.","Hill, Trish","Cacciatore, Joanne",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploring the Increased Odds of Divorce Following Miscarriage or Stillbirth,,,,Divorce,Miscarriage,Stillbirth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28313,"Cacciatore, Joanne","Erlandsson, Kerstin","Rådestad, Ingela",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fatherhood and suffering: A qualitative exploration of Swedish men’s experiences of care after the death of a baby,,,,Parental grief,Fathers,Medical personnel and patient,Communication in medicine,Bereavement,Stillbirth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28333,"Pullen, Suzanne","Golden, Mindi Ann","Cacciatore, Joanne",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,“I'll Never Forget Those Cold Words as Long as I Live”: Parent Perceptions of Death Notification for Stillbirth,,,,Death notification,Medical personnel and patient,Parental grief,Stillbirth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28340,"Umphrey, Laura","Cacciatore, Joanne",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love and Death: Relational Metaphors Following the Death of a Child,,,,Metaphor,Interpersonal communication,Communication in marriage,Parental grief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28314,"Cacciatore, Joanne","Raffo, Zulma",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maternal Lesbian Bereavement,,No files available for this object,,Lesbian mothers,Parental grief,Bereavement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship,,,,,,,,,,,,,,,,,,
,28305,"Cacciatore, Joanne","Flint, Melissa",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mediating Grief: Postmortem Ritualization After Child Death,,,,Ritualization,Bereavement,Parental grief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28325,"Flenady, Vicki","Cacciatore, Joanne",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meeting the needs of parents after a stillbirth or neonatal death,,,,Medical personnel and patient,Communication in medicine,Parental grief,Stillbirth,Newborn infants -- Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28320,"Cacciatore, Joanne","Thieleman, Kara","Osborn, James","Orlowski, Kelly",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of the Soul and Suffering: Mindfulness- Based Interventions and Bereavement,"Thieleman, Kara: see ID # 28319 above",,,Mindfulness (Psychology),Bereavement,Grief therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28295,"Blood, Cybele","Cacciatore, Joanne",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parental Grief and Memento Mori Photography: Narrative, Meaning, Culture, and Context",,,,Postmortem photography,Bereavement,Perinatal death,Children -- Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28293,"Barr, Peter","Cacciatore, Joanne",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal Fear of Death and Grief in Bereaved Mothers,,,,Fear of death,Bereavement,Mothers,Parental grief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28298,"Cacciatore, Joanne","Thieleman, Kara",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pharmacological Treatment Following Traumatic Bereavement: A Case Series,"Thieleman, Kara: see ID # 28319 above",,,Psychotropic drugs,"Depression, Mental--Treatment",Post-traumatic stress disorder--Treatment,Bereavement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28328,"Huberty, Jennifer","Leiferman, Jenn","Gold, Katherine","Cacciatore, Joanne","Rowedder, Lacey","Bonds, Darya Denise",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical activity and depressive symptoms after stillbirth: informing future interventions,"Huberty, Jennifer: https://chs.asu.edu/jennifer-huberty",,,Exercise--Psychological aspects,Stillbirth--Psychological aspects,Depression in women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28330,"Lacasse, Jeff","Cacciatore, Joanne",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prescribing of Psychiatric Medication to Bereaved Parents Following Perinatal/Neonatal Death: An Observational Study,,,,Psychotropic drugs,Parents--Psychology,Bereavement,Perinatal death--Psychological aspects,Newborn infants--Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28294,"Barr, Peter","Cacciatore, Joanne",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Problematic emotions and maternal grief,,,,Personality and emotions,Mothers--Mental health,Parental grief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28316,"Cacciatore, Joanne",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Psychological effects of stillbirth,,,,Stillbirth--Psychological aspects,Parental grief,Parents--Psychology,Secondary traumatic stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28324,"Erlandsson, Kerstin","Warland, Jane, 1957-","Cacciatore, Joanne","Rådestad, Ingela",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seeing and holding a stillborn baby: Mothers’ feelings in relation to how their babies were presented to them after birth—Findings from an online questionnaire,,,,Stillbirth--Psychological aspects,Bereavement--Psychological aspects,Mother and infant,Medical personnel and patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28331,"Lietz, Cynthia A.","Lacasse, Jeff","Cacciatore, Joanne",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Support in Family Reunification: A Qualitative Study,,,,Family reunification,Social networks,Families,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28299,"Cacciatore, Joanne","Bushfield, Suzanne Young",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stillbirth A Sociopolitical Issue,,,,Stillbirth,Social policy,Stillbirth--Law and legislation,"Registers of births, etc",Stillbirth--Government policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28306,"Cacciatore, Joanne","DeFrain, John D.","Jones, Kara L. C.","Jones, Hawk",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stillbirth and the Couple: A Gender-Based Exploration,,,,Couples--Psychology,Sex differences (Psychology),Parental grief,Stillbirth--Psychological aspects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28302,"Cacciatore, Joanne",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stillbirth: Patient-centered Psychosocial Care,,,,Patient-centered health care,Stillbirth--Psychological aspects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28300,"Cacciatore, Joanne","Bushfield, Suzanne Young",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stillbirth: The Mother's Experience and Implications for Improving Care,,,,Mothers--Mental health,Parental grief,Stillbirth--Psychological aspects,Bereavement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28327,"Froen, J.F.","Cacciatore, Joanne",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stillbirths: why they matter,,No files available for this object,,Stillbirth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship,,,,,,,,,,,,,,,,,,
,28329,"Koopmans, Laura","Wilson, Trish","Cacciatore, Joanne","Flenady, Vicki",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Support for mothers, fathers and families after perinatal death (Review)",,,,Mental health services,Parental grief,Perinatal death--Psychological aspects,Bereavement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28336,"Thieleman, Kara","Cacciatore, Joanne",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The DSM-5 and the Bereavement Exclusion: A Call for Critical Evaluation,"Thieleman, Kara: see ID # 28319 above",,,Diagnostic and statistical manual of mental disorders. 5th ed,Bereavement,"Depression, Mental--Diagnosis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28315,"Cacciatore, Joanne","Schnebly, Steve","Froen, J.F.",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The effects of social support on maternal anxiety and depression after stillbirth,,,,Social networks,Anxiety in women,Depression in women,Stillbirth--Psychological aspects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
,28297,"Cacciatore, Joanne",Arizona State University. School of Social Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Silent Birth: A Feminist Perspective,,,,Stillbirth,Stillbirth--Law and legislation,Fetal death--Reporting,Stillbirth--Government policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty scholarship: journal article (PDF),,,,,,,,,,,,,,,,,,
