Title,Description,Personal Contributor,Personal Contributor Role,Personal Contributor,Personal Contributor Role,Personal Contributor,Personal Contributor Role,Personal Contributor,Personal Contributor Role,Personal Contributor,Personal Contributor Role,Personal Contributor,Personal Contributor Role,Personal Contributor,Personal Contributor Role,Corporate Contributor,Corporate Contributor Role,Event Contributor,Table of Contents,Topical Subject,Topical Subject,Genre,Geographic Subject,Corporate Name Subject,Corporate Name Subject,Personal Name Subject,Title Subject,Temporal Subject,Language,Extent,Preferred Citation,Copyright Statement,Reuse Permissions,Handle,Legacy System ID,ID,System Creator,Peer-reviewed,Open Access,Series,Date Created,Copyright Date,Date Digitized,Edition,Issuance,Frequency,Collaborating Institution,Statement of Responsibility,Model,Parent Collection,Parent Item,Visibility,Additional Memberships,Place of Publication Text,Place of Publication Code,Coordinates,Related Item,Note,Identifier,Cataloging Standards,Complex Object Child,File Location,Derivative File Permissions,Original File Permissions,Description Source,Embargo Release Date,Level of Coding,File Location
GHQ Hometowners Program,"Pyle interviews James Burchett (Eloy, Arizona), Faustino Estrada (Williams, Arizona), Billy J. Hill (Miami, Arizona), and Homer Cummings (Jerome, Arizona) who are stationed in Luzon, Philippines with the 32nd Division.  This broadcast is the third of KTAR's Hometowner series.","Pyle, Howard, 1906-1987",Interviewer,"Burchett, James, 1926-2010",Interviewee,"Estrada, Faustino Ramirez, 1918-2005",Interviewee,"Hill, Billy Joe, 1923-1993",Interviewee,"Cummings, Homer Preston, 1922-1989",Interviewee,,,,,,,,,"World War, 1939-1945 -- Personal narratives, American",,sound recordings|http://vocab.getty.edu/page/aat/300028633,,,,,,,eng,0:11:01,"""GHQ Hometowners Program,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15266,15266,egdunham,0,0,,1945-07-28,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 05,,0,,Public,Public,,,,
GHQ Hometowners Program,"Pyle interviews Edward E. Davis (Scottsdale, Arizona), Robert Foley (Tucson, Arizona), Sylvester Ware (Phoenix, Arizona), and Willie Hill (Tucson, Arizona) who are stationed in Manila, Philippines with the 856th Aviation Engineers.  This broadcast is the fourth of KTAR's Hometowner series.","Pyle, Howard, 1906-1987",Interviewer,"Davis, Edward E.",Interviewee,"Foley, Robert, 1922-1993",Interviewee,"Ware, Sylvester, 1922-",Interviewee,"Hill, Willie Nelson, 1910-1966",Interviewee,,,,,,,,,"World War, 1939-1945 -- Personal narratives, American","World War, 1939-1945 -- Participation, African-American",sound recordings|http://vocab.getty.edu/page/aat/300028633,,"United States. Army. Aviation Engineers, 856th",,,,,eng,0:11:10,"""GHQ Hometowners Program,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15298,15298,egdunham,0,0,,1945-07-28,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 06,,0,,Public,Public,,,,
Interview with Lt. Gen. Robert L. Eichelberger,Pyle interviews Lt. Gen. Robert L. Eichelberger.  Poor sound quality from original.,"Pyle, Howard, 1906-1987",Interviewer,"Eichelberger, Robert L.",Interviewee,,,,,,,,,,,,,,,"World War, 1939-1945 -- Personal narratives, American",,sound recordings|http://vocab.getty.edu/page/aat/300028633,,,,,,,eng,0:04:25,"""Interview with Lt. Gen. Robert L. Eichelberger,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15299,15299,egdunham,0,0,,1945-08-31,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 07,,0,,Public,Public,,,,
J. Howard Pyle Reports from Yokohama,"Pyle describes his flight to and arrival at Yokohama, Japan with 11th Airborne Division.  He also claims to be the first civilian US broadcaster to land in Japan, meets the 4th Marine Division, and describes the drive to Radio Tokyo.","Pyle, Howard, 1906-1987",Reporter,,,,,,,,,,,,,,,,,"World War, 1939-1945 -- Japan",,sound recordings|http://vocab.getty.edu/page/aat/300028633,Tokyo (Japan),"United States. Army. Airborne Division, 11th","United States. Marine Corps. Marine Division, 4th",,,,eng,0:08:39,"""J. Howard Pyle Reports from Yokohama,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15300,15300,egdunham,0,0,,1945-09-01,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 08,,0,,Public,Public,,,,
Governor Pyle Reports on Meeting with Tribal Leaders,"Pyle interviews George Fisher (Colorado River Tribal Council), Clarence Wesley (San Carlos Tribal Council), Sam Ahkeah (Navajo Tribal Council), and Thomas Segundo (Papago Tribal Council). This gathering may represent the origin of the Inter-Tribal Council of Arizona.","Pyle, Howard, 1906-1987",Interviewer,"Fisher, George",Interviewee,"Wesley, Clarence, 1909-1987",Interviewee,"Ahkeah, Sam",Interviewee,"Segundo, Thomas A., 1920-1971",Interviewee,,,,,"KOY (Radio station : Phoenix, Ariz.)",Broadcaster,,,Indians of North America -- Politics and government,Indians of North America -- Arizona,sound recordings|http://vocab.getty.edu/page/aat/300028633,,,,,,,eng,0:15:16,"""Governor Pyle Reports on Meeting with Tribal Leaders,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15301,15301,egdunham,0,0,,1951-09-24,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 09,,0,,Public,Public,,,,
Grand Canyon Easter Services,"Easter services at the Grand Canyon, including commentary by Governor Pyle, services by Rev. Thomas Miller Pyle (Buckeye, Arizona) and Shrine of the Ages Pastor Rev. Kenneth Porray, and music by the Shrine of the Ages Boys Choir and Arizona State College Flagstaff.","Pyle, Howard, 1906-1987",Commentator,"Pyle, Thomas Miller",Speaker,"Porray, Kenneth John, 1916-1997",Speaker,,,,,,,,,"KTAR (Radio station : Phoenix, Ariz.)",Broadcaster,,,Easter service,,sound recordings|http://vocab.getty.edu/page/aat/300028633,"Shrine of the Ages Chapel (Grand Canyon, Ariz.)",,,,,,eng,0:29:13,"""Grand Canyon Easter Services,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,,1,egdunham,0,0,,1951-03-25,,,,,,,,Complex Object,J. Howard Pyle Radio Broadcasts,,1,,,,,,,,,0,,Public,Public,,,,
Grand Canyon Easter Services (Part 1),"Easter services at the Grand Canyon, including commentary by Governor Pyle, services by Rev. Thomas Miller Pyle (Buckeye, Arizona) and Shrine of the Ages Pastor Rev. Kenneth Porray, and music by the Shrine of the Ages Boys Choir and Arizona State College Flagstaff.","Pyle, Howard, 1906-1987",Commentator,"Pyle, Thomas Miller",Speaker,"Porray, Kenneth John, 1916-1997",Speaker,,,,,,,,,"KTAR (Radio station : Phoenix, Ariz.)",Broadcaster,,,Easter service,,sound recordings|http://vocab.getty.edu/page/aat/300028633,"Shrine of the Ages Chapel (Grand Canyon, Ariz.)",,,,,,eng,0:14:32,"""Grand Canyon Easter Services,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15303,15303,egdunham,0,0,,1951-03-25,,,,,,,,Audio,,1,1,,,,,,,Track 11,,1,,Public,Public,,,,
Grand Canyon Easter Services (Part 2),"Easter services at the Grand Canyon, including commentary by Governor Pyle, services by Rev. Thomas Miller Pyle (Buckeye, Arizona) and Shrine of the Ages Pastor Rev. Kenneth Porray, and music by the Shrine of the Ages Boys Choir and Arizona State College Flagstaff.","Pyle, Howard, 1906-1987",Commentator,"Pyle, Thomas Miller",Speaker,"Porray, Kenneth John, 1916-1997",Speaker,,,,,,,,,"KTAR (Radio station : Phoenix, Ariz.)",Broadcaster,,,Easter service,,sound recordings|http://vocab.getty.edu/page/aat/300028633,"Shrine of the Ages Chapel (Grand Canyon, Ariz.)",,,,,,eng,0:14:41,"""Grand Canyon Easter Services,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15302,15302,egdunham,0,0,,1951-03-25,,,,,,,,Audio,,1,1,,,,,,,Track 10,,1,,Public,Public,,,,
GHQ Hometowners Program and Fred MacPherson Commentary,This recording duplicates track 05 with the addition of commentary regarding Japan by Fred MacPherson.,"Pyle, Howard, 1906-1987",Interviewer,"MacPherson, Fred (Frederick Alexander), 1911-",Commentator,,,,,,,,,,,,,,,"World War, 1939-1945 -- Personal narratives, American",,sound recordings|http://vocab.getty.edu/page/aat/300028633,Japan -- History -- 1945-,,,,,,eng,0:15:00,"""GHQ Hometowners Program and Fred MacPherson Commentary,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15304,15304,egdunham,0,0,,1945-07-28,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 12,,0,,Public,Public,,,,
GHQ Hometowners Program,"This recording includes Fred MacPherson's commentary on the GI Bill of Rights, J. Howard Pyle reporting from the 25th Division, and interviews with Lt. Kenneth J. Fuller (Mesa, Arizona) and Lt. Hiram H. Zupnik (Tucson, Arizona) regarding the battle in Luzon and specifically the “Bloody Path” skirmish. Fuller and Zupnik describe divisional operations and the decisions made while enlisted men recount Army life in the battle zones.  Also included is a greeting from Lt. Arnold Ambos (Globe, Arizona).","Pyle, Howard, 1906-1987",Reporter,"MacPherson, Fred (Frederick Alexander), 1911-",Commentator,"Fuller, Kenneth Joy, 1921-1979",Interviewee,"Zupnik, Hiram Hall, 1919-1996",Interviewee,"Ambos, Arnold Morris, 1917-2006",Speaker,,,,,"Valley National Bank (Phoenix, Ariz.)",Sponsor,,,United States. Montgomery G.I. Bill,"World War, 1939-1945 -- Campaigns -- Philippines -- Luzon",sound recordings|http://vocab.getty.edu/page/aat/300028633,,"United States. Army. Infantry Division, 25th",,,,,eng,0:14:43,"""GHQ Hometowners Program,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15305,15305,egdunham,0,0,,1945-09-04,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 13,,0,,Public,Public,,,,
"United Nations Conference, San Francisco","This recording includes interviews with NBC's Frank McCall regarding technical difficulties associated with broadcasting and organizing the conference and with Carveth Wells, NBC radio announcer Ben Grauer, and John Wald of Richfield Reporters regarding conference proceedings.  Also included are greetings from Arizonans Capt. and Mrs. Joseph Madison Greer, who were stationed at the Merritt Island Navy Yard and Hospital.","Pyle, Howard, 1906-1987",Interviewer,"Grauer, Ben",Interviewee,"Wald, John, 1908-1988",Interviewee,"McCall, Francis Cleaves, 1907-1981",Interviewee,"Wells, Carveth",Interviewee,"Greer, Joseph Madison, 1887-1969",Interviewee,"Greer, Mary Susan Rasmusson, 1889-1957",Interviewee,,,,,,,sound recordings|http://vocab.getty.edu/page/aat/300028633,,"United Nations Conference on International Organization (1945 : San Francisco, Calif.)",,,,,eng,0:29:44,"""United Nations Conference, San Francisco,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,,2,egdunham,0,0,,1945-04-29,,,,,,,,Complex Object,J. Howard Pyle Radio Broadcasts,,1,,,,,,,,,0,,Public,Public,,,,
"United Nations Conference, San Francisco (Part 1)",Interviews with NBC radio announcer Ben Grauer and John Wald of Richfield Reporters regarding conference proceedings.,"Pyle, Howard, 1906-1987",Interviewer,"Grauer, Ben",Interviewee,"Wald, John, 1908-1988",Interviewee,,,,,,,,,,,,,,,sound recordings|http://vocab.getty.edu/page/aat/300028633,,"United Nations Conference on International Organization (1945 : San Francisco, Calif.)",,,,,eng,0:15:13,"""United Nations Conference, San Francisco (Part 1),"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15308,15308,egdunham,0,0,,1945-04-29,,,,,,,,Audio,,2,1,,,,,,,Track 16,,1,,Public,Public,,,,
"United Nations Conference, San Francisco (Part 2)","Interviews with NBC's Frank McCall regarding technical difficulties associated with broadcasting and organizing the conference and with Carveth Wells regarding conference proceedings.  Also included are greetings from Arizonans Capt. and Mrs. Joseph Madison Greer, who were stationed at the Merritt Island Navy Yard and Hospital.","Pyle, Howard, 1906-1987",Interviewer,"McCall, Francis Cleaves, 1907-1981",Interviewee,"Wells, Carveth",Interviewee,"Greer, Joseph Madison, 1887-1969",Interviewee,"Greer, Mary Susan Rasmusson, 1889-1957",Interviewee,,,,,,,,,,,sound recordings|http://vocab.getty.edu/page/aat/300028633,,"United Nations Conference on International Organization (1945 : San Francisco, Calif.)",,,,,eng,0:14:31,"""United Nations Conference San Francisco (Part 2),"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15306,15306,egdunham,0,0,,1945-04-29,,,,,,,,Audio,,2,1,,,,,,,Track 14,,1,,Public,Public,,,,
Reveille Round Up with Greg Donovan and the Hometowners,Music and dramatic programming.,,,,,,,,,,,,,,,,,,,,,sound recordings|http://vocab.getty.edu/page/aat/300028633,,,,,,,eng,0:14:44,"""Reveille Round Up with Greg Donovan and the Hometowners,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15307,15307,egdunham,0,0,,,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 15,,0,,Public,Public,,,,
"United Nations Conference, San Francisco","Interviews with Mucio Delgado regarding conference proceedings and Argentinian representation.  Topics discussed include Arizonans and Argentina trade relations and beef imports.  In 1941, Mucio F. Delgado, program manager with the Prescott radio station KYTA, met Nelson Rockefeller, Assistant Secretary of State for Latin American Affairs, at a meeting of the Inter-American Affairs in San Francisco. At that time, Jimmy Creasman was Delgado’s counterpart and friend. In this interview in 1945, Delgado was a representative of the IAA in New York and no longer lived in Arizona. Because of his work as a representative for the IAA, he was probably familiar with FDR’s Good Neighbor Policy and his intent to foster better relations with US allies in Latin America and Mexico.","Pyle, Howard, 1906-1987",Interviewer,"Delgado, Mucio Fernandez, 1910-1978",Interviewee,,,,,,,,,,,,,,,Trade regulation -- Argentina,,sound recordings|http://vocab.getty.edu/page/aat/300028633,,"United Nations Conference on International Organization (1945 : San Francisco, Calif.)",,,,,eng,0:15:08,"""United Nations Conference, San Francisco,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15309,15309,egdunham,0,0,,1945-04-29,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 17,,0,,Public,Public,,,,
"""Hometowner"" Interview with CFC Robert Legate","Interview with CFC Robert Legate (Eloy, Arizona), who was stationed in Luzon with the 43rd ""Winged Victory"" Infantry Division.","Pyle, Howard, 1906-1987",Interviewer,"Legate, Robert Raymond, 1918-2003",Interviewee,,,,,,,,,,,"KTAR (Radio station : Phoenix, Ariz.)",Broadcaster,,,"World War, 1939-1945 -- Campaigns -- Philippines -- Luzon",,sound recordings|http://vocab.getty.edu/page/aat/300028633,,"United States. Army. Infantry Division, 43rd",,,,,eng,0:02:28,"""""Hometowner"" Interview with CFC Robert Legate,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15310,15310,egdunham,0,0,,1945,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 18.1,,0,,Public,Public,,,,
"""Hometowner"" Interview with Private W. B. McDaniels","Interview with Private W. B. McDaniels (Flagstaff, Arizona), who was stationed in Luzon with the 43rd ""Winged Victory"" Infantry Division.","Pyle, Howard, 1906-1987",Interviewer,"McDaniels, W. B. (William Bryan), 1924-1987",Interviewee,,,,,,,,,,,"KTAR (Radio station : Phoenix, Ariz.)",Broadcaster,,,"World War, 1939-1945 -- Campaigns -- Philippines -- Luzon",,sound recordings|http://vocab.getty.edu/page/aat/300028633,,"United States. Army. Infantry Division, 43rd",,,,,eng,0:02:21,"""""Hometowner"" Interview with Private W. B. McDaniels,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15311,15311,egdunham,0,0,,1945,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 18.2,,0,,Public,Public,,,,
"""Hometowner"" Interview with PFC Arnufo Detraillo","Interview with Arnufo Detraillo (Tucson, Arizona).","Pyle, Howard, 1906-1987",Interviewer,"Detraillo, Arnufo",Interviewee,,,,,,,,,,,"KTAR (Radio station : Phoenix, Ariz.)",Broadcaster,,,"World War, 1939-1945 -- Campaigns -- Philippines -- Luzon","World War, 1939-1945 -- Participation, Mexican American",sound recordings|http://vocab.getty.edu/page/aat/300028633,,"United States. Army. Infantry Division, 43rd",,,,,spa,0:01:47,"""""Hometowner"" Interview with PFC Arnufo Detraillo,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15312,15312,egdunham,0,0,,1945,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 18.3,,0,,Public,Public,,,,
"""Hometowner"" Interview with CFC John H. Ledford","Interview with CFC John H. Ledford (Phoenix, Arizona), who was stationed in Luzon with the 43rd ""Winged Victory"" Infantry Division.","Pyle, Howard, 1906-1987",Interviewer,"Ledford, John Harris, 1924-1986",Interviewee,,,,,,,,,,,"KTAR (Radio station : Phoenix, Ariz.)",Broadcaster,,,"World War, 1939-1945 -- Campaigns -- Philippines -- Luzon",,sound recordings|http://vocab.getty.edu/page/aat/300028633,,"United States. Army. Infantry Division, 43rd",,,,,eng,0:02:25,"""""Hometowner"" Interview with CFC John H. Ledford,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15313,15313,egdunham,0,0,,1945,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 18.4,,0,,Public,Public,,,,
"""Hometowner"" Interview with PFC Joseph S. Oroszco","Interview with PFC Joseph S. Oroszco (Continental, Arizona), who was stationed in Luzon with the 43rd ""Winged Victory"" Infantry Division.","Pyle, Howard, 1906-1987",Interviewer,"Oroszco, Joseph S.",Interviewee,,,,,,,,,,,"KTAR (Radio station : Phoenix, Ariz.)",Broadcaster,,,"World War, 1939-1945 -- Campaigns -- Philippines -- Luzon","World War, 1939-1945 -- Participation, Mexican American",sound recordings|http://vocab.getty.edu/page/aat/300028633,,"United States. Army. Infantry Division, 43rd",,,,,spa,0:02:20,"""""Hometowner"" Interview with PFC Joseph S. Oroszco,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15314,15314,egdunham,0,0,,1945,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 19.1,,0,,Public,Public,,,,
