ID,Title,Description,"Personal Contributor","Corporate Contributor","Event Contributor","Topical Subject","Geographic Subject","Personal Name Subject","Title Subject","Temporal Subject",Genre,"Table Of Contents",Language,Extent,"Preferred Citation","Copyright Statement","Reuse Permissions",Handle,"Legacy Identifier","System Creator","Date Created",Peer-reviewed,"Open Access",Series,"Copyright Date","Date Digitized",Edition,Frequency,Issuance,"Related Item","Collaborating Institution","Complex Object Child",Model,"Statement of Responsibility","Parent Item","Parent Collection","Additional Memberships",Coordinates,Note,"Place of Publication Code","Place of Publication Text",Identifier,"Cataloging Standards","Derivative File Permissions","Original File Permissions","Description Source","Embargo Release Date","Level of Coding",Visibility
5637,"|Effective Utilization of HealthCare Resources|An Educational Intervention for Adult Patients","<p>Over the last ten years, a dramatic increase in Emergency Department (ED) visits has been prominent. Non-emergent chief complaints, such as repeat chronic care needs, are causing increased ED visits. The underutilization of primary care resources has been correlated with the overutilization of emergency care resources. ED overutilization is having a negative rippling effect on the ability of the US healthcare system to care for patients. Emergency department personnel and other resources are strained, leading to overcrowding and decreased quality of care. Health insurance and provider accessibility has been linked to the high rates of ED usage by adults age 18 – 64, with the highest rates seen in those under public health coverage, such as Medicaid, compared to those who were uninsured. To encourage primary care visits and discourage non-emergent ED usage, the United States health system includes patient education on the appropriate ED use, higher-copayment as financial disincentives, and encouragement of provider-patient relationships with Primary care providers (PCP). The public health clinics, including Federally Qualified Health Centers, provide patient education on the appropriate use of PCP versus ED resources, and offer extended office hours during evenings and weekends; trimming the rate of non-emergent ED visits can significantly reduce health care costs.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Hospitals -- Emergency services || Patient education|http://id.loc.gov/authorities/subjects/sh85098703 || Emergency medical services -- Utilization",,,,,,,English,"51 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.53987,53987,kpardon1,"05/16/2019 - 17:08",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5638,"|Effects of an Education Presentation for Hospital Providers on Heart Failure and Core Measures|","<p>Purpose:  To evaluate the effectiveness of providing education on current heart failure (HF) guidelines and core measures documentation (CMD) for healthcare providers to improve implementation of HF guidelines.  </p>
<p>Background and Significance:  HF affects over 5.1 million people in the United States, costing $31 billion a year; $1.7 billion spent on Medicare readmissions within 30 days of discharge.  Guidelines and care coordination prevent expenses related to hospital readmissions and improve quality of life for adults with HF. </p>
<p>Methods:  Healthcare providers (HCPs) at a metropolitan hospital participated in an education session reviewing HF treatment and CMD.  Thirty participants completed the single five-point Likert scale pre/post surveys evaluating their opinions of knowledge and behaviors toward implementation of guidelines and CMD.  Patient outcome data was abstracted measuring pre/post education compliance for ejection fraction, ACE/ARB, beta-blocker, HF education, follow-up appointments, aldosterone antagonist, anticoagulation, hydralazine nitrate, and CMD 30-45 day’s pre/post education.  Analyses included descriptive statistics of participants and pre/post surveys using a paired t-test.  Percentage of compliance for quality measures was completed on patients from September through December. </p>
<p>Results:   Providers post intervention showed improved knowledge and behaviors toward implementation of guidelines and CMD, including reconciliation of medications to statistical significance.  However, the demographics showed the majority of participants were non-cardiac specialties. Improved compliance for outcome data of quality measures was insignificant over time.  The non-cardiac demographic may have contributed to this result.  </p>
<p>Conclusion:  The surveys did not correlate with the patient outcome data.  Recommendations would include targeting cardiac focused HCPs for future education sessions.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Heart failure|http://id.loc.gov/authorities/subjects/sh85059745 || Health care teams -- Training of",,,,,,,English,"66 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.37878,37878,Anonymous,"04/28/2016 - 17:39",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5639,"|Equine Assisted Learning|An Evidence-Based Intervention for Families","<p>Background: It is estimated that 50% of all mental illness arises prior to age 14, an incident attributed in part to disruptions and imbalances within the family system. Equine assisted learning is a complementary and alternative approach to family therapy which is being used increasingly to promote mental health in both adults and children. This study sought to build and deliver an evidence-based, family-centered equine assisted learning program aimed at promoting family function, family satisfaction and child social-emotional competence, and to measure its acceptability and preliminary effect. </p>
<p>Method: Twenty families with children 10 years and older were recruited to participate in a 3-week equine assisted learning program at a therapeutic riding center in Phoenix, Arizona. Sessions included groundwork activities with horses used to promote life skills using experiential learning theory. The study design included a mixed-method quasi-experimental one-group pretest posttest design using the following mental health instruments: Devereaux Student Strengths Assessment, Brief Family Assessment Measure (3 dimensions), and Family Satisfaction Scale to measure child social-emotional competence, family function, and family satisfaction, respectively. Acceptability was determined using a Likert-type questionnaire with open-ended questions to gain a qualitative thematic perspective of the experience. </p>
<p>Results: Preliminary pretest and posttest comparisons were statistically significant for improvements in family satisfaction (p = 0.001, M = -5.84, SD = 5.63), all three domains of family function (General Scale: p = 0.005, M = 6.84, SD = 9.20; Self-Rating Scale: p = 0.050, M = 6.53, SD = 12.89; and Dyadic Relationship Scale: p = 0.028, M = 3.47, SD = 7.18), and child social-emotional competence (p = 0.015, M = -4.05, SD 5.95). Effect sizes were moderate to large (d &gt; 0.5) for all but one instrument (Self-Rating Scale), suggesting a considerable magnitude of change over the three-week period. The intervention was highly accepted among both children and adults. Themes of proximity, self-discovery, and regard for others emerged during evaluation of qualitative findings. Longitudinal comparisons of baseline and 3-month follow-up remain in-progress, a topic available for future discussion.</p>
<p>Discussion: Results help to validate equine assisted learning as a valuable tool in the promotion of child social-emotional intelligence strengthened in part by the promotion of family function and family satisfaction. For mental health professionals, these results serve as a reminder of the alternatives that are available, as well as the importance of partnerships within the community. For therapeutic riding centers, these results help equine professionals validate their programs and gain a foothold within the scientific community. Additionally, they invite future riding centers to follow course in incorporating evidence into their programs and examining new directions for growth within the mental health community.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Family psychotherapy|http://id.loc.gov/authorities/subjects/sh85047061 || Animals -- Therapeutic use || Horses|http://id.loc.gov/authorities/subjects/sh85062160",,,,,,,English,"70 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.54066,54066,kpardon1,"05/31/2019 - 18:00",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5640,"|Evaluating the Effect of a Heart Failure Cardiac Rehabilitation Intervention on Hospital Readmission Rates|","<p>Heart failure (HF) is one of the most common and costly conditions for hospital readmissions in the United States (Conway, 2015). Cardiac rehabilitation (CR) programs are effective in decreasing hospital readmission rates (Koukoui, Desmoulin, Lairy, Bleinc, Boursiquot, Galinier, &amp; Koukoui, 2015). Medicare has established new requirements for qualification into a CR program; thus, patients are at risk for readmission in the six-weeks post discharge. To reduce HF hospital readmissions and to increase enrollment into the HF program, an infrastructure was implemented beginning in January 2016. This quality improvement project employed a patient chart audit reviewing overall hospital readmission rates for HF at a large hospital in Arizona. A comparison of readmission rates was made between the 6 months prior to, and the 6-months after the expanded utilization of the HF program. An independent-samples t test was calculated comparing the mean score of the readmission rates before and after a HF CR intervention. No significant difference was found (t(358) = .721, p &gt; .05). The mean of the group before the intervention (m =.15, sd = .36) was not significantly different from mean in the intervention group (m = .13, sd = .33). Implications for practice cannot completely be concluded from this project findings. Continued studies focusing on the enrollment, attendance, and completion of the HF CR program could assist in determining the benefits of referring all patients with the diagnosis of HF to the HF CR program.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Heart failure|http://id.loc.gov/authorities/subjects/sh85059745 || Hospitals -- Admissions and discharge || Rehabilitation|http://id.loc.gov/authorities/subjects/sh00008430",,,,,,,English,"14 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.43828,43828,kpardon1,"05/24/2017 - 11:57",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5641,"|Evidence-Based Algorithm to Prevent the Misdiagnosis of Attention-Deficit Hyperactivity Disorder in Preschoolers|","<p>There is an increased risk of misdiagnosis of Attention Deficit Hyperactivity Disorder (ADHD)<br />in preschoolers due to the lack of validated diagnostic tools and provider knowledge of normal behavior and development. The goal of this project was to standardize the diagnostic process by adopting an evidence-based ADHD algorithm protocol for preschoolers (3-5 years). In an urban military pediatric clinic, five pediatric care clinicians were provided with an educational ADHD algorithm. Pre/posttest surveys were used to assess provider knowledge and perceptions of care. Chart audits determined preschooler ADHD diagnosis prevalence pre- and post-implementation of the algorithm. The rate of ADHD diagnosis in preschoolers reduced significantly from 78.6% pre-audit to 22.6% post-audit. In addition, providers improved their accuracy in diagnosing alternative disorders and behaviors that mimic the symptomology of ADHD (Z=-2.0, p=0.046). The rate of misdiagnosis of ADHD in preschoolers decreased because of the use of an evidence-based ADHD algorithm.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Attention-deficit-hyperactivity disorder -- Diagnosis || Diagnostic errors|http://id.loc.gov/authorities/subjects/sh85037506 || Attention-deficit-disordered children|http://id.loc.gov/authorities/subjects/sh92005071",,,,,,,English,"25 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.43643,43643,kpardon1,"05/15/2017 - 13:54",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5642,"|Health care provider use of motivational interviewing to address vaccine hesitancy in college students|","<p>Background: Vaccine-preventable diseases significantly influence the health and academic success of college students.  Despite the known negative impact of these diseases, vaccination rates routinely fall short of national goals and recommendations.  Although vaccination decisions are complex, a recommendation from a health care provider is one of the key motivators for individuals receiving a vaccine.  Motivational interviewing (MI), a counseling approach primarily used to address substance abuse, can be applied to other health-related behaviors.</p>
<p>Local Problem: Despite previous quality improvement efforts aimed at increasing vaccine rates for influenza, human papillomavirus (HPV), and meningitis B (MenB), vaccinations at large university health centers have been well below benchmarks set by Healthy People 2020.</p>
<p>Methods: This study was guided by the Theory of Planned Behavior and included MI training and regular reinforcement for health care providers to address vaccine hesitancy with college students.</p>
<p>Results: Influenza vaccination rates improved, but HPV vaccine rates remained stable and MenB vaccine rates decreased compared with the previous year.  Clinicians demonstrated a significant increase in knowledge of MI techniques after a targeted educational intervention.  Repeat measures indicate the potential for sustained improvement when ongoing reinforcement is provided.</p>
<p>Conclusion: MI can be an effective part of a strategy to increase vaccination rates.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Vaccination|http://id.loc.gov/authorities/subjects/sh2002006429 || College students|http://id.loc.gov/authorities/subjects/sh85028356 || Motivational interviewing|http://id.loc.gov/authorities/subjects/sh2006005865",,,,,,,English,"8 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.55074,55074,kpardon1,"11/14/2019 - 12:54",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5643,"|Health Literacy Education|For Parents of Children Preschool Aged and Younger","<p>Purpose: The purpose of health literacy education is to increase an individual’s understanding of health and use of the healthcare system. Low health literacy is associated with misuse of healthcare resources and misunderstanding of healthcare teaching. Education has demonstrated efficacy in improving health literacy. A personalized educational program was provided to parents of Head Start children, offered in Spanish and English, and at a 3rd to 5th education level.</p>
<p>Design: Using an established program for health literacy education, a Doctor of Nursing Practice project was implemented. The effect the program had on increasing the health literacy of participants over a period of 4 weeks was examined. The predominately, Latina participants received three hours of instruction based upon the health literacy book “What to do When Your Child Gets Sick”.</p>
<p>Setting and Subjects: The educational program took place in a large, urban county in the Southwestern United States with 24 parents of preschool age children in Head Start.</p>
<p>Intervention: The educational program contained three hours of classroom instruction utilizing PowerPoint® presentation, demonstration, and teach-back techniques on how to care for a child’s healthcare needs.</p>
<p>Measures and Analysis: Pre-, post- and telephone surveys were used to assess the impact of the health literacy educational program. Wilcoxon and Freidman tests were used to interpret the results.</p>
<p>Results: Despite no significant increases in health literacy post implementation, participants’ remarked that they felt the class was helpful and wanted to share the information with friends and family. They appreciated the program and wanted more educational opportunities.</p>
<p>Conclusion: Advanced practice nurses must acquire understanding, cultural sensitivity, and assess the needs of the community when implementing health literacy educational projects.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Health literacy|http://id.loc.gov/authorities/subjects/sh2013000623 || Patient education|http://id.loc.gov/authorities/subjects/sh85098703 || Parenting -- Study and teaching || Preschool children|http://id.loc.gov/authorities/subjects/sh87008036",,,,,,,English,"20 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.43649,43649,kpardon1,"05/15/2017 - 18:38",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5644,"|Health Promotion Education for Overweight and Obesity in Adults with Endocrine Disorders|","<p>Purpose: The purpose of this project was to implement health promotion education for overweight and obese adults with endocrine disorders. The overarching goal was to change dietary intake and improve exercise to reduce the incidence, prevalence, and impact of comorbidities associated with obesity. Background/Synthesis: Obesity is a significant epidemic facing the nation today with multiple impacts on the national healthcare system. There is often an association between obesity and endocrine disorders such as type 2 diabetes and prediabetes. Both obesity and diabetes cost the nation billions of dollars annually in healthcare costs. Evidence shows that lifestyle modifications related to nutrition and physical activity are effective in weight reduction and prevention of chronic disease, especially when given by a healthcare provider. Methods: Fifteen adult patients at an endocrinology office in Arizona received individual counseling using the teach-back method focusing on health promotion behaviors through nutrition and exercise with a two-week follow-up phone call. Short-term outcomes measured in this project included changes in dietary intake and exercise behaviors through a pre- and post-test adapted from an obesity-screening tool developed by Greenwood et al. (2008). Outcomes/Results: Participants were primarily Caucasian and Hispanic, married, female, average age of 50 years, average BMI of 34.5, and some college education. There was a statistically significant increase in health promoting behavior on posttest scores (M=66, SD=6.23, range=58-76) compared to pretest scores (M=61, SD=4.72, range=50-66), t(14)=-2.55, p=0.023. Conclusions and Implications: Overall, patient health promotion behaviors increased with this educational intervention. Clinical implications include a potential decrease in patient comorbidities related to overweight and obesity. Implications for the greater healthcare system include decreased comorbidities, utilization of healthcare resources, and costs associated with overweight and obesity. Future recommendations would include determining weight and BMI changes over a longer period of time for even better outcome measures.<br />	Keywords: obesity, obese, overweight, health promotion, health education, diet, exercise, nutrition</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Obesity|http://id.loc.gov/authorities/subjects/sh85093646 || Patient education|http://id.loc.gov/authorities/subjects/sh85098703 || Endocrine glands -- Diseases || Diet|http://id.loc.gov/authorities/subjects/sh85037853",Exercise|http://id.loc.gov/authorities/subjects/sh00005703,,,,,,English,"55 pages",,"In Copyright",Attribution-NonCommercial-ShareAlike,https://hdl.handle.net/2286/R.I.38107,38107,Anonymous,"05/06/2016 - 16:56",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Complex Object",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5645,"|Impact of a Brief Prediabetes Education on Physical Activity, Eating Habit and Self-Efficacy in a Rural Primary Care Setting|","<p>Purpose: The purpose of the project was to improve physical activity (PA), eating habits (EH) and self-efficacy (SE) by implementing short lifestyle modification education in a rural primary care setting.  </p>
<p>Background: Although prediabetes awareness has slightly improved, the nationwide unawareness remains high.  General knowledge about the disease and its risk factors and prevention are significant variables to adopt health-promoting behaviors.  Lifestyle change intervention has been shown to be effective with the risk reduction behaviors in prediabetic population.  However, it can be a daunting task to translate during short office visits.  </p>
<p>Methods: Sixteen participants with risk for prediabetes or diagnosed prediabetes enrolled into a 5-minute education session in a rural health clinic.  They received follow-up phone calls weekly for 4 weeks.  Demographics, PA, EH and SE levels were measured before the education session.  During the fourth week, PA, EH and SE were measured again.  Frequency, descriptive analysis, and paired t-test were used for data analysis.  </p>
<p>Outcomes: The mean age of participants was 56.6  13.0 years.  Approximately 81% were female, and 62.5% identified as Caucasian.  Over 80% reported married, and 56.3% described their health condition as good.  The three quarters (75%) noted they have heard of the term prediabetes. The intervention had a significant effect on PA, EH and SE from the baseline to post intervention, p = .005, p = .008, and p = .003, respectively.  Conclusion: This DNP project illustrated that one time brief lifestyle change education could positively impact PA, EH and SE in people with high risk for prediabetes in a primary care clinic.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Prediabetic state|http://id.loc.gov/authorities/subjects/sh85106249 || Lifestyles|http://id.loc.gov/authorities/subjects/sh85076848 || Self-efficacy|http://id.loc.gov/authorities/subjects/sh93006407 || Medicine, preventive",,,,,,,English,"59 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.37877,37877,Anonymous,"04/28/2016 - 17:31",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5646,"|Impact of an Electronic Clinical Decision Support Tool on Early Maternal Glucose Screening in Pregnancy|","<p>Gestational diabetes mellitus (GDM), diabetes diagnosed in the second or third trimester of<br />pregnancy that is not clearly overt diabetes, has become more common as the rates of obesity in women of childbearing age have increased. Undiagnosed, uncontrolled diabetes in pregnancy can lead to maternal and infant health comorbidities as well as have adverse long-term effects for mother or baby. Although routine screening for gestational diabetes mellitus (GDM) occurs between 24 and 28 weeks gestation, the American Congress of Obstetricians and Gynecologists (ACOG) recommends screening earlier in pregnancy for women at risk for undiagnosed type 2 diabetes. Risk factors include previous history of GDM, known impaired glucose metabolism, or obesity (BMI &gt; 30). The purpose of this project is to implement the clinical practice guideline for early maternal glucose screening during pregnancy in women with risk factors through the integration of a clinical decision support (CDS) tool in an electronic health record (EHR). CDS tools can be utilized as a point of care strategy to remind providers of the clinical practice guidelines and to assist providers in decision-making related to screening. Participating providers (n=18) utilized the CDS tool during the initial obstetrical visit for at risk women without a prepregnancy diabetes diagnosis and entering prenatal care prior to 24 weeks. The impact of<br />implantation of the CDS tool shows that an increase in screening was statistically significant (p&lt;.001).</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Diabetes in pregnancy|http://id.loc.gov/authorities/subjects/sh85037466 || Medical protocols|http://id.loc.gov/authorities/subjects/sh85083005 || Medical records -- Data processing",,,,,,,English,"19 pages",,"In Copyright",Attribution-NonCommercial-NoDerivs,https://hdl.handle.net/2286/R.I.43570,43570,kpardon1,"05/03/2017 - 19:18",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5647,"|Impact of Nurse Navigation on Parkinson’s Disease Community Wellness|","<p>Background: There is a great need to provide people with Parkinson disease (PD) not only quality medical care, but social support and disease-related resources. Nurses have the training and interpersonal relationship skills to make a tremendous difference in the lives of people living with PD. Objective: This quality improvement project evaluated the effect of a nurse navigation program on self-efficacy among people living with PD. </p>
<p>Methods: Twenty-four members of a PD specific wellness center in the United States were recruited to participate in a nurse navigation program for a 12-week period. The intervention period included an initial needs assessment, ten individual 45-minute sessions focused on specific aspects of PD wellness, and a concluding visit. Results: There was a significant decline in quality of life based on average PDQ-39 scores for the participants in January 2019 (M =24.44, SD=16.66) compared to January 2018 (M=20.11, SD =12.78) where higher scores signify worse quality of life; t(23)-4.329 p=0.025. Average self-efficacy for managing chronic disease pre-intervention scores (M=6.58, SD=1.70) verses post-intervention scores (M=7.44, SD=1.48) showed a significant increase in self-efficacy with a medium effect size; t(23)-0.854 p=0.016, d=0.54. Additionally, unique satisfaction surveys showed high satisfaction with nurse navigation throughout the participant sample and wellness center staff members. </p>
<p>Conclusions: A nurse navigation program focusing on specific aspects of PD management can help improve participant’s confidence in self-management of PD despite disease progression. Additionally, nurse navigation for people with PD was associated with high satisfaction among participants and staff members of a PD wellness center.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Quality of life|http://id.loc.gov/authorities/subjects/sh85109445 || Patient-centered health care|http://id.loc.gov/authorities/subjects/sh2012000674 || Self-efficacy|http://id.loc.gov/authorities/subjects/sh93006407 || Parkinson&#039;s disease|http://id.loc.gov/authorities/subjects/sh85098115",,,,,,,English,"17 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.54071,54071,kpardon1,"06/06/2019 - 15:59",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5648,"|Implementation of a Child Physical Abuse Screening Program in the Emergency Department|","<p>Children often present to the emergency department (ED) for treatment of abuse-related injuries. ED healthcare providers (HCPs) do not consistently screen children for physical abuse, which may allow abuse to go undetected and increases the risk for re-injury and death. ED HCPs frequently cite lack of knowledge or confidence in screening for and detecting child physical abuse. The purpose of this evidence-based quality improvement project was to implement a comprehensive screening program that included ED HCP education on child physical abuse, a systematic screening protocol, and use of the validated Escape Instrument. After a 20-minute educational session, there was a significant increase in ED HCP knowledge and confidence scores for child physical abuse screening and recognition (p &lt; .001). There was no difference in diagnostic coding of child physical abuse by ED HCPs when evaluating a 30-day period before and after implementation of the screening protocol. In a follow-up survey, the Escape Instrument and educational session were the most reported screening facilitators, while transition to a new electronic health system was the most reported barrier. The results of this project support comprehensive ED screening programs as a method of improving HCP knowledge and confidence in screening for and recognizing child physical abuse. Future research should focus on the impact of screening on the diagnosis and treatment of child physical abuse. Efforts should also be made to standardize child abuse screening programs throughout all EDs, with the potential for spread to other settings.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Hospitals -- Emergency services || Abused children|http://id.loc.gov/authorities/subjects/sh85000277 || Health care teams -- Training of",,,,,,,English,"78 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.48979,48979,kpardon1,"05/29/2018 - 18:29",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5649,"|Implementation of a Culturally-Tailored Diabetes Education Program in a Medically-Underserved Community Health Clinic|","<p>Purpose: Hispanics diagnosed with type 2 diabetes mellitus (DM) have poorer health outcomes than non-Hispanic whites. Approximately one- half of all Hispanic DM patients utilize community health clinics for their DM needs. Evidence suggests that using a culturally-tailored approach to DM education can uniquely improve health outcomes in this population. The purpose of this evidence-based practice (EBP) project was to improve glycemic control in a medically underserved Hispanic community through a culturally-tailored DM education program. </p>
<p>Methods: This quasi-experimental pre/post design project was guided by the ACE Star Model and Leininger’s Theory of Cultural Care. The affiliated University’s IRB approved this project. The Diabetes Empowerment Education Program (DEEP) was implemented in a free, community clinic in a medically underserved area. Spanish speaking patients (n = 15) with A1C levels <br />&gt; 8mg/dl were recruited to participate in a 6-week group educational program facilitated by community health workers. Outcomes included A1C levels, weight, and two surveys from the Michigan Diabetes Research Center - DM knowledge test and the DM empowerment scale. </p>
<p>Results: Paired sample t-tests were used to analyze the outcomes. The participants had an average pre-A1C of 8.82 mg/dl with post-A1C of 8.01 mg/dl (p = .028). Pre-knowledge test scores averaged 9.40 with post-test average of 12.07 (p &lt; .001). Empowerment scores increased from 4.09 to 4.63 (p = .001). The reduction between the average pre-and post-weight measures were not statistically significant (p = .681).</p>
<p>Discussion: The implementation of a culturally-tailored DM educational program in a medically underserved community had a significant impact on reducing A1C levels, improving DM knowledge, and enhancing empowerment levels. Although the sample size was small and limited to one clinic, applying these programs can have a measurable clinical impact in the treatment of Hispanic DM patients. Future research can further exam how to duplicate this project on a larger scale and over a sustained period.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Diabetes|http://id.loc.gov/authorities/subjects/sh85037456 || Patient education|http://id.loc.gov/authorities/subjects/sh85098703 || Hispanic Americans|http://id.loc.gov/authorities/subjects/sh00006041",,,,,,,English,"63 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.48505,48505,kpardon1,"05/01/2018 - 15:51",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5650,"|Implementation of a Family-based Obesity Intervention Within a Pediatric Primary Care|","<p>Background<br />Apprxoimately 1in 5 U.S. school-aged children are obese.  There are many known health complications associated with obesity including premature death.  Family-based obesity interventions that promote healthy lifestyle habits are effective at enabling children to make changes needed to avoid long-term health complications associated with obesity.  The purpose of this evidence-based practice intervention was to evaluate the effectiveness of a family-based obesity intervention on familial lifestyle behaviors related to nutrition, physical activity, and screen time.</p>
<p>Methods<br />Two overweight-obese children (according to CDC criteria) ages 8-12 years old visiting a pediatric primary care clinic in a suburban neighborhood located in the southwest region were recruited to participate in this evidence-based practice intervention based on inclusion and exclusion criteria.  Familial lifestyle behaviors were assessed using the Family Health Behavior Scale (FHBS) prior to receiving an educational intervention addressing nutritional, physical activity, and screen time recommendations and again after following these recommendation for 6-weeks.  Additionally, scheduled follow-up phone calls were made every 3 or 6-weeks addressing any parental questions that surfaced.  Data was insufficient for statistical analysis, however, anecdotal recommendations for future implementation of this intervention resulted.</p>
<p>Results<br />Of the two patients who participated, pre- and post-intervention data was only attainable from one patient.  That patient did have improved scores within each of the 4 FHBS subscales (parent behaviors, physical activity, mealtime routines, and child behaviors).  Overall, 11 of the 27 behaviors assessed improved, 12 behaviors resulted in no change, and 4 behaviors worsened.  Recommendations related to a more successful implementation of this intervention in the futurre include improved provider pariticpation (buy-in), utiliazation of broader inclusion criteria, consideration of the implementation time-frame, and application of the Health Belief Model for addressing existing barriers for each patient prior to implementing the intervention.</p>
<p>Conclusions<br />In order to determine the effectiveness of this intervention a larger sample size and completed post-intervention data are needed.  The small sample size and lack of post-intervention data inhibits proper data analyzation and significance from being determined.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Obesity|http://id.loc.gov/authorities/subjects/sh85093646 || Obesity of children || Families -- Health and hygiene || Lifestyles|http://id.loc.gov/authorities/subjects/sh85076848",,,,,,,English,"24 pages",,,,https://hdl.handle.net/2286/R.I.50051,50051,kpardon1,"07/18/2018 - 18:22",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5651,"|Implementation of a Mediterranean Diet in Type II Diabetic Patients|","<p>Type II Diabetes Mellitus has detrimental effects on the human body. A1C levels reflect the attachment of glucose to hemoglobin-the protein in red blood cells that carries oxygen. Elevated A1C levels are an indicator of how controlled diabetes is. Uncontrolled diabetes not only affects glucose levels, but has detrimental repercussions in other organs of the body, causing peripheral vascular disease, risk of developing dementia, periodontal or gum disease, skin infections, neuropathy in lower and upper extremities, renal damage, erectile dysfunction, decreased blood flow, and cardiac conditions among others.<br />A diet low in calories positively affects glucose levels in the body. Type II Diabetes can be easily controlled when lifestyle modifications are included in the plan of care. Among those modifications, diet is an effective intervention for the management of this condition.<br />Establishing a diet among the patients that have an elevated A1C is the plan of care and ultimate goal for this project. The Mediterranean diet has demonstrated decreased blood glucose levels, improved weight control and enhanced quality of life.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Non-insulin-dependent diabetes -- Alternative treatment || Diabetes -- Diet therapy || Cooking, Mediterranean|http://id.loc.gov/authorities/subjects/sh85031864",,,,,,,English,"81 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.54065,54065,kpardon1,"05/31/2019 - 15:56",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
