id,title,parent,handle,model,collab_ints,description,primary_contact,default_of_perms,default_df_perms,status,created
167,Guardian of the Flame Sri Lanka Manuscript Collection,,http://hdl.handle.net/2286/R.C.167,Collection,,"Photographs of selected manuscripts from [The Guardian of the Flame Sri Lanka Manuscript Collection (MS SC MSS 203)](http://www.azarchivesonline.org/xtf/view?docId=ead/asu/guardian.xml;query=guardian%20of%20the%20flame;brand=default). The complete collection consists of 390 individual manuscript objects.  The manuscripts are predominantly Theravada Buddhist religious texts that originate from as early as the 3rd Century AD, although these copies of texts date from circa 1600-1910. Descriptions were compiled by Wijitha Bandara and Dr. Stephen Berkwitz. Photos presented here were made by several contributors over time, most depict covers and colophons, complete sets of folio images are added as they are created.",archives@asu.edu,1,1,1,2013-09-04 0:16:56.229752+00:00
308,Hayden Pioneer Biographies,,http://hdl.handle.net/2286/R.C.308,Collection,,"The List of Hayden Arizona Pioneer Biographies includes links to digitized typescripts of biographical statements about Arizona ""pioneers"" written by Senator Carl T. Hayden. Subjects of the research were heads of household appearing in the 1860, 1863 and 1870 US Census surveys for Arizona. While Hayden completed biographies for over 800 individuals, he compiled research data for over 1,700 individuals. The complete research files are available in hardcopy at the Arizona Collection.",archives@asu.edu,1,1,1,2018-04-04 20:42:50.574690+00:00
253,Hidden Meanings of Love and Death in Chinese Painting; Selections from the Marilyn and Roy Papp Collection,,http://hdl.handle.net/2286/R.C.253,Collection,,"Marilyn and Roy Papp built an important collection of Chinese paintings, created between 1486 and 1894.  They built the collection for twenty-five years, ultimately selecting about two hundred works representing the highest artistic expression of China’s Ming and Qing dynasties.  

This is a collaboration between ASU Libraries, the Phoenix Art Museum, The Papp Family, and ASU Herberger Institute for Design and the Arts.",Ralph.Gabbard@asu.edu,1,3,1,2016-01-05 21:53:59.950617+00:00
135,Inter Tribal Council of Arizona History,,http://hdl.handle.net/2286/R.C.135,Collection,,"This collection includes archival materials relating to the history of the [Inter Tribal Council of Arizona (ITCA)](http://itcaonline.com/) selected by ASU Library's Joyce Martin (Curator of the Labriola National American Indian Data Center), and ITCA staff.

The collection will grow in time to include more digitized archival documents about the history of ITCA.  It currently includes transcripts and audio file from a meeting regarding the history of the Inter Tribal Council of Arizona recorded July 25, 2012.",joyce.martin@asu.edu,1,1,2,2012-08-23 20:46:42.348899+00:00
263,"Course Catalogs, Thunderbird School of Global Management, 1946-2015",,http://hdl.handle.net/2286/R.C.263,Collection,,"A collection of available Thunderbird School of Global Management Course Catalogs and MBA Bulletins provided by the Office of the Provost, Arizona State University.",archives@asu.edu,1,1,1,2016-05-24 0:04:36.440588+00:00
138,"Course Catalogs, General, Arizona State University, 1887-Present",,http://hdl.handle.net/2286/R.C.138,Collection,,"A collection of all available ASU General Catalog editions from 1887 to present. General Catalogs were published in two-year compilations from 1955-1987 and again from 1994-1998. The 1992-1993 edition was accompanied by a 1993-1994 ""supplement"", so no 1993-1994 edition was produced.The following editions were either not produced or are unavailable at this time: 1887-1888, 1895-1896, 1914-1915, 1929-1930, 1943-1944.

The ASU General Catalog was produced in database form starting in 2007-2008. The 2007-2008 edition course descriptions are not available. Subsequent editions feature an Academic Catalog file and a  Course Catalog Archive file. The Academic Catalog file includes college and department policies, graduation requirements and major maps. The Course Catalog Archive file presents actual course descriptions.",archives@asu.edu,1,1,1,2012-08-28 21:44:10.122650+00:00
157,Intercollegiate Athletics Film and Video Collection,,http://hdl.handle.net/2286/R.C.157,Collection,,"The *Intercollegiate Athletics Film and Video Collection* is comprised of selected motion pictures, video productions and television programs received from the Media Relations office of Arizona State University Intercollegiate Athletics, the PAC 10 and the PAC 12.  Media is added as permissions are secured, and resources for digitization become available.",archives@asu.edu,1,1,1,2013-05-01 17:53:40.336078+00:00
153,Irene Corey Theatrical Design Image Collection,,http://hdl.handle.net/2286/R.C.153,Collection,,"This collection contains more than 3,000 scans of slides housed in the Irene Corey Papers, a manuscript collection located in the Child Drama Collection. (See http://libguides.asu.edu/childdramacoll for more information about this repository.) These digitized slides document Irene's theatrical set, costume, makeup, mask, and prop designs and her creative process from 1948-1993. It was curated by Archivist Katherine Krzys and includes data gathered from her personal conversations with Irene Corey. This digitization project was funded by the Irene Corey Memorial Fund. 

Irene Corey's designs have influenced the theatre world for many generations. She received the USITT Award in 2007 for a lifetime contribution to the Performing Arts Community. At the presentation ceremony, the host said that we would not have seen Lion King or Cats on Broadway without Corey's pioneering animal costume and makeup work. 

In addition to the slides, the Irene Corey Papers also include all of her theatrical design original renderings, pencil sketches, process and research notes, construction elevations, programs, articles and reviews, correspondence, reference files, publicity and production photographs, pre-print materials for her books (The Mask of Reality: An Approach to Design for Theater, and The Face is a Canvas), and costumes for The Everyman Players productions of The Book of Job and The Tempest. This collection is currently minimally processed and is only available for viewing with the permission of the Curator.",archives@asu.edu,3,1,1,2013-04-12 16:30:12.182555+00:00
227,Joyce Finch Oral History Project,,http://hdl.handle.net/2286/R.C.227,Collection,,"Twenty-six interview transcripts regarding members of the United States Cadet
Nurse Corps and abstracts of the interviews produced by Elsie Szecsy.

About the collection: Joyce Finch, a faculty member in the ASU College of Nursing, interviewed twenty-six World War II-era women trained as nurses at accredited nursing schools for the Cadet Nurses Project, also known as the “Victory Nurse Corps.” The program was supervised by the United States Public Health Service during World War II. As the war progressed, the demand for nurses increased dramatically, creating a nursing shortage. When the Cadet Nurses Project ended, over one thousand nursing schools had participated in the program. This oral history project reveals the contributions of the nurses on the home front who helped win the war for America. They were educated trained nurses, and good ones: proud of their profession, their country, and their work. Copies of the oral history release forms of interviewees for the Cadet Nurses Project accompany each transcript. Signed originals are in the departmental Master Oral History Release Form File.

For additional historical materials about the US Cadet Nurse Corps, see the Elsie Szecsy Papers collection on the digital repository: https://repository.asu.edu/collections/224",rob.spindler@asu.edu,1,1,1,2015-03-03 21:38:48.880714+00:00
334,Labriola Center American Indian National Book Award,,http://hdl.handle.net/2286/R.C.334,Collection,,"The Labriola Center book award seeks to promote contemporary work by Indigenous scholars which benefits Indigenous peoples and nations. Books submitted for consideration for the Labriola Center American Indian National Book Award may cross multiple disciplines or fields of study, but must focus on topics and issues that are pertinent to Indigenous peoples and nations.  Of particular interest are those works written by Indigenous scholars or in which Indigenous persons played a significant role in the creation of the nominated work.  The judging committee is led by ASU American Indian Studies professor Dr. David Martinez.  For more information see https://lib.asu.edu/labriola/bookaward",joyce.martin@asu.edu,1,1,1,2019-01-23 12:52:22.457785+00:00
32,Powwow Photographs by Ann Leonard,,http://hdl.handle.net/2286/R.C.32,Collection,,"The Powwow Photographs by Ann Leonard collection consists of 69 color digital photographs.  

Ann Leonard documented the Tohono O’odham’s Wa:K Pow Wow, held at Tucson’s San Xavier del Bac Mission in March of 2008. 

The images feature multiple dance competitions, including shots of Fancy, Grass, Southern Straight, Jingle, and Shawl dancers. The images were displayed at [Labriola Center](http://lib.asu.edu/labriola) during the Spring and Summer of 2008.",joyce.martin@asu.edu,1,1,1,2012-03-30 19:22:04.404291+00:00
17,Ralph Cameron,,http://hdl.handle.net/2286/R.C.17,Collection,,"The Ralph Cameron Oral History digital collection originally resides as an audio tape collection in the Labriola National American Indian Data Center, on the second floor of Hayden Library. The call number for the collection is LAB LO-1. The tape collection consists of 7 audio tapes with both side A and side B. 

The series of 7 interviews with Ralph Cameron interviewed by his son Leroy Cameron discuss education at both Phoenix Indian School and Sherman Institute in Riverside, California, World War II military exploits, community activities, speaking to his grandchildren, and children's stories.

The 7 tapes were digitized by The Audio Archive in San Jose, California with grant funding provided by the Arizona Historical Records Advisory Board.",joyce.martin@asu.edu,1,1,1,2011-12-22 21:44:20.464195+00:00
147,Rubén Darío Papers 1882-1945,,http://hdl.handle.net/2286/R.C.147,Collection,,"The Rubén Darío Papers contain approximately 900 handwritten pages of poetry, essays, short stories, diplomatic memos, and personal letters created by Nicaraguan poet Rubén Darío (1867-1916). These manuscripts document Darío's life and work as a journalist, diplomat, and poet between 1882 and 1915.

Rubén Darío was born on January 18, 1867 in Metapa, Nicaragua, currently known as Ciudad Darío. He is recognized as one of Latin America's most famous poets and as Nicaragua's most revered cultural figure. Throughout his short life, Darío worked as a journalist (most notably in Argentina and Chile), as a diplomat (he held official posts for the Nicaraguan government in Spain and France), and as a poet and author of essays and other literary works. He is considered the founder of modernism/modernismo, a 20th-century Latin American literary movement.  Darío died on February 16, 1916 in León, Nicaragua.

The Rubén Darío Papers physical collection is housed and archived in the [Arizona State University Libraries Archives & Special Collections](http://www.asu.edu/lib/archives/).  For a description of the the physical archival collection see the [Arizona Archives Online Rubén Darío Papers Finding Aid](http://www.azarchivesonline.org/xtf/view?docId=ead/asu/dario.xml;query=dario;brand=default).",archives@asu.edu,1,1,1,2012-12-06 19:14:13.316566+00:00
291,Senator Carl T. Hayden Audio and Video Materials,,http://hdl.handle.net/2286/R.C.291,Collection,,"Audio recordings and digitized motion pictures selected from the Senator 
Carl T. Hayden Papers. Materials are added as permissions are secured and resources become available.",archives@asu.edu,1,1,1,2017-05-11 21:47:49.980189+00:00
190,Special Collections Manuscript Letters and Ephemera of Artists and Authors (1650-1921) as Selected and Transcribed by Mollie Connelly,,http://hdl.handle.net/2286/R.C.190,Collection,,"Special Collections Manuscript Letters and Ephemera of Artists and Authors (1650-1921) as Selected and Transcribed by Mollie Connelly. This collection consists of 62 rare manuscripts found in ASU Libraries Special Collections in Hayden Library, from the 17th, 18th, 19th and 20th centuries. Items are English, Scottish, Irish, American, French, Egyptian, and more. The collection adds to the correspondence heritage of notable authors, artists, and public figures, including William Wordsworth, H.G. Wells, Booker T. Washington, Claude Monet, and others. The project sets out to make previously unpublished manuscripts newly accessible to scholars and students.

Literary figures included in this collection include the Pre-Raphaelites, Victorians, Romantics, and many more.  Notable authors include William Wordsworth, Robert Browning, Mark Twain and others.  Literary correspondence has been the driving force of this collection. Even a rare ticket from actor David Garrick's 1769 Shakespeare Jubilee can be counted among the treasures here.

Supplementing writers of literature are esteemed artists such as John William Waterhouse, Claude Monet, and Dante Gabriel Rossetti.  

Finally, culturally significant public figures are included such as Booker T. Washington, John Ruskin, and Sir Richard Burton. These manuscripts provide insight into the cultural climate of their respective time periods.

Many people should be thanked and acknowledged for their help with this collection.  First, Nicholas Salerno was integral to the development and gathering of the manuscripts that make up this collection.  Next, Dr. Devoney Looser and Archivist Katherine Krzys have provided tremendous guidance for this wonderful collection.",archives@asu.edu,1,1,1,2014-04-04 20:53:00.913982+00:00
209,Stephen Shadegg Papers (1855-1991) Collection,,http://hdl.handle.net/2286/R.C.209,Collection,,Selected materials from the [Stephen C. Shadegg Papers 1855-1991 archival collection](http://www.azarchivesonline.org/xtf/view?docId=ead/asu/shadegg.xml;query=shadegg;brand=default). Materials will be added as they are digitized.,archives@asu.edu,1,1,1,2014-10-28 17:49:14.969484+00:00
15,The MimiJac Palgen Cambodian Photographs,,http://hdl.handle.net/2286/R.C.15,Collection,,"The MimiJac Palgen Memorial Collection includes original photographs, photographic negatives, slides, support literature, 8 regional decorative objects and assorted postcards, cards and flyers of Cambodia, Thailand, Vietnam and Indonesia, 1946 to 1982.

The photograph-negative collection, the work of Mrs. Mimi Palgen-Maisonneuve, consists of over 1,000 black and white, self-developed Rolleiflex negatives and photographs of village and rural scenes, as well as everyday images of urban lives of the Cambodian people during the period from 1946 to 1962. The collection also contains approximately 500 black and white negatives taken within the Angkor temple complex. The earliest negatives from Angkor contain images taken of temples prior to and during restoration work conducted under French auspices. Later negatives contains images of post-restoration work. In addition, the collection contains approximately 100 slides taken by Dr. and Mrs. Palgen while on assignment in Vietnam in the early 1960s, Indonesia and Thailand in the early 1980s.

The bulk of the photos reflect Cambodian life in this important period in modern Cambodian history. During World War II, France continued to control the country through its Vichy government. In 1946, the Japanese dissolved the colonial administration, and in March King Norodom Sihanouk declared an independent, anti-colonial government under Prime Minister Son Ngoc Thanh. The new government was deposed by the Allies in October of that same year. Although France recognized Cambodia as an autonomous kingdom within the French Union, the drive for total independent continued, which hastened the French government's recognition of Cambodia's full independence on November 9, 1953. During the 1950s and 1960s, the later period during which Mimi Palgen-Maisonneuve was a resident in Cambodia, the country tried to remain neutral as the Indochinese Conflict developed around it. The conflict caused Cambodian culture to be annihilated by the Khmer Rouge.

The collection is also associated with Northern Illinois University as a collaborative project between Arizona State University Libraries and Northern Illinois University Libraries [Southeast Asia Digital Library](http://sea.lib.niu.edu/) aimed at digitizing old photographs taken by Mimi Palgen Maisonneuve in the 1950s and 1960s and photographing the same locations to show contemporary Cambodian life in the year 2007.  [Then and Now: Historical Photographs of Cambodia](http://sea.lib.niu.edu/cambodiaprojects) links the history of Cambodia from the past to the present through photographs and descriptions.

Mrs. Mimi Palgen-Maisonneuve was married to Dr. Jacques O. Palgen, a professor of geodesy and photogrammetry and a former United Nations official. Mimi was a former resident of Cambodia, and a staff member of Radio Cambodge in Phnom-Penh from 1946-1962.",ralph.gabbard@asu.edu,1,1,1,2011-10-07 22:17:38.855146+00:00
185,Traces of Japanese Life: Selections from the Melikian Collection,,http://hdl.handle.net/2286/R.C.184,Collection,,"[James and Ana Melikian](http://www.melikiancollection.com/) have collected rare books and manuscripts, liturgical objects, and many other works of art. Materials from their collection have been shown in several recent museum exhibitions, including Sacred Word and Image: Five World Religions organized by the Phoenix Art Museum (2012) and accompanied by a catalog. Offered here is their collection of Japanese rare books, manuscripts, and objects of historical interest, which continues to grow. Faculty and graduate students at Arizona State University are presenting in this digital archive preliminary research on selected objects. Students involved in the project were Susan Anderson, Colleen Bache, Brittany Corrales, Nicholas Klofkorn, Amelia  Miholca, Yijing Wang, and Momoko Welch. More manuscripts will added over time. An exhibition of selected works, titled [Traces of Japanese Life: Selections from the Melikian Collection](https://asuevents.asu.edu/traces-japanese-life-selections-melikian-collection), was held from February 1 until May 25, 2013 at the ASU Art Museum organized by the staff of the Jules Heller Print Study Room.",ralph.gabbard@asu.edu,1,1,1,2014-02-03 22:01:24.418220+00:00
338,Trudie Jackson Papers,,http://hdl.handle.net/2286/R.C.338,Collection,,This collection contains images documenting Trudie Jackson's campaign for the presidency of the Navajo Nation in 2018.  An EAD guide to this collection can be accessed at [(http://www.azarchivesonline.org/xtf/view?docId=ead/asu/jackson_trudie.xml](http://www.azarchivesonline.org/xtf/view?docId=ead/asu/jackson_trudie.xml).,,1,1,1,2019-03-27 18:24:15.363816+00:00
156,University Archives Audio and Visual Materials,,http://hdl.handle.net/2286/R.C.156,Collection,,"The University Archives Audio and Visual Materials consist of archival photographs, audio recordings, motion pictures and video productions selected from the [University Archives Collections](http://libguides.asu.edu/univarchives). Media is added as permissions are secured, and resources for digitization become available.",archives@asu.edu,1,1,1,2013-05-01 17:51:50.902199+00:00
90,US Congressman Harry Mitchell Oral History Project,,http://hdl.handle.net/2286/R.C.90,Collection,,"Video recordings of interviews with Congressman [Harry Mitchell](http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001167) and six members of his Washington and Arizona staff. Interviews were conducted between December 2010 and April 2012 by [Dr. David Berman](http://morrisoninstitute.asu.edu/researchers-and-staff/david-r.-berman) of Arizona State University. Staff interviewees are Reed Adamson, Elizabeth Higgins, Chris Quigley, Robbie Sherwood, Alexis Tameron and Matt Weisman.  Interviews with Mitchell, Higgins and Quigley were conducted in the historic Senator Carl T. Hayden Office at Hayden Library. The interview with Matt Weisman was conducted at the US House of Representatives studio in Washington DC. Support for this project was provided by the Luhrs Family Endowment.",archives@asu.edu,1,1,1,2012-04-05 17:49:58.228789+00:00
206,US Congressman Harry Mitchell Papers,,http://hdl.handle.net/2286/R.C.206,Collection,,"Primarily digital photographs and videos documenting Congressman Mitchell's service in the United States House of Representatives 2008-2012. Materials document Mitchell's participation in events related to Veteran's Affairs, military training, Arizona State University, foreclosure prevention and health care.",archives@asu.edu,1,1,1,2014-07-30 21:38:58.896345+00:00
331,Grand Canyon National Park Goverment Documents,,http://hdl.handle.net/2286/R.C.331,Collection,,"An open access collection of United States and State of Arizona government publications pertaining to the Grand Canyon. These unique documents were curated as a supplemental collection for the celebration of the Centennial of the Grand Canyon National Park. Among other items, the collection contains brochures, an archaeological study, tourism research reports, and regional master plans pertaining to the Grand Canyon National Park and the surrounding areas. Contact the ASU Library [Government Documents](https://lib.asu.edu/govdocs) for access to additional materials.",,1,1,1,2018-12-05 17:48:35.018477+00:00
191,Images from the Jeannette Shambaugh Elliott Collection of Calligraphy,,http://hdl.handle.net/2286/R.C.191,Collection,,"Offered here are selected images from the Jeannette Shambaugh Elliott collection of Chinese calligraphy together with research by art history graduate students at Arizona State University. Students involved in the project were Ming Hua, Nicholas Klofkorn, and Momoko Soma Welch. Jeannette Shambaugh Elliott studied Chinese art throughout her life and collected Chinese paintings and calligraphies from the 1960s until the 1990s. Portions of her collection reside at the  Princeton University Art Museum,  the Smart Museum of Art at the University of Chicago, and the Phoenix Art Museum.  In 1985, some of the paintings at the Phoenix Art Museum were published in The Modern Spirit in Chinese Painting: Selections from the Jeannette Shambaugh Elliott Collection.  With David Shambaugh, she published The Odyssey of China's Imperial Art Treasures (Seattle, 2005).

This is a collaboration between ASU Libraries, the Phoenix Art Museum, and ASU Institute for Humanities Research.",ralph.gabbard@asu.edu,1,1,1,2014-04-10 16:48:53.446523+00:00
3,James Schoenwetter (Faculty) Research Papers,,http://hdl.handle.net/2286/R.C.3,Collection,,"James Schoenwetter joined the ASU Department of Anthropology (now School of Human Evolution and Social Change) faculty in 1967, following four years at the Laboratory of Anthropology at Santa Fe, New Mexico, and retired in 2000. His research interests were in the areas of prehistoric cultural ecology, applications of pollen analysis in archaeology, and research methodology.

Prior to retirement, he directed the department's palynology laboratory. Pollen research by Schoenwetter and his students has involved a variety of sites in Mesoamerica, North America and Europe, and continued after his retirement. He directed archaeological and botanical fieldwork in the Midwestern and Southwestern United States, California, Oaxaca, Zacatecas, Jalisco, England and France.

Schoenwetter pioneered study of pollen records from archaeological site-context deposits in the Southwest and Midwest in the 1960’s, identified palynological evidence of Archaic Horizon maize cultivation in Arizona, Illinois and Mexico in the 1970’s, and was among the earliest students of the palynological records of Historic Archaeology site-context deposits. 

This collection of unpublished professional writings have not been edited since they were written between 1958 and 2004. The palynological and archaeological information they contain, and the concepts and methods presented, will prove useful to others researching similar problems and situations. These writings have not been subject to professional peer review and should not be recognized as contributions to published scientific literature.

Schoenwetter, James. [Preliminary Inventory of the James Schoenwetter Papers 1956-2005](http://azarchivesonline.org/xtf/view?docId=ead/asu/schoenwetter_acc.xml).",spindler@asu.edu,1,1,1,2011-05-11 21:08:35.229452+00:00
163,State of Arizona Reports,,http://hdl.handle.net/2286/R.C.163,Collection,,"Modeled after the National Urban League's State of Black America, the State of Arizona reports highlight issues facing Arizona's diverse populations, with ideas for solving these concerns. The publications reflect the data collection of the research team and are designed to inform policy makers and promote growth in the Arizona region.",joyce.martin@asu.edu,1,1,1,2013-08-23 17:33:26.054297+00:00
240,Undocumented Voices,,http://hdl.handle.net/2286/R.C.240,Collection,,"Undocumented Voices is an oral history project that seeks to document the
lives of undocumented students, known as dreamers, who have, and are
currently, pursuing a more inclusive US immigration policy. These students
have captured the public attention for the extensive social and political
movement that they have built on college campuses around the U.S. The
Undocumented Voices project aims to create a public conversation about what
it means to be an immigrant and an American. Through the compelling
narrative of Undocumented Voices, we find a les through which we can engage
the power of the humanities to promote understanding and respect for
diverse histories, cultures, and perspectives. Undocumented Voices seeks
to highlight the trajectory of the immigrant student movement over the last
decade, explores the history of American immigration, the process of
storytelling, and what it means to be a citizen.",,1,1,1,2015-06-02 23:51:21.863406+00:00
158,ASU Library Collection,,http://hdl.handle.net/2286/R.C.158,Collection,,"White papers, conference reports and publications of the ASU Library.",shari.laster@asu.edu,1,1,1,2013-05-10 21:00:24.210273+00:00
6,Morrison Institute for Public Policy Publications Archives,,http://hdl.handle.net/2286/R.C.6,Collection,,"Morrison Institute for Public Policy is a leader in examining critical Arizona and regional issues, and is a catalyst for public dialogue. An Arizona State University resource, Morrison Institute is an independent center that uses nonpartisan research and communication outreach to help improve the state's quality of life.

Morrison Institute is part of the College of Public Programs in the School of Public Affairs at Arizona State University. Additional publications are available at the [Morrison Institute for Public Policy](https://morrisoninstitute.asu.edu/). Date range of repository publications is 1982 – 2015.",vogus@asu.edu,1,1,1,2011-06-14 4:34:39.172501+00:00
